7.251962	10.874516	1301
11.197958	14.949889	1302
15.790839	19.089951	1303
19.089951	21.418735	1304
21.936243	23.424078	1305
23.812208	27.887582	1306
30.410432	33.968297	1307
39.078685	44.835959	1308
45.353466	48.329136	1309
55.315489	61.331516	1310
62.043089	69.417574	1311
75.038616	77.820220	1312
80.213693	83.059985	1313
85.259393	89.205389	1314
89.658208	94.574531	1315
95.027351	98.067708	1316
98.067708	101.366820	1317
101.625574	104.019047	1318
104.536555	108.482551	1319
109.064747	114.563266	1320
115.145462	121.096801	1321
121.549620	125.560305	1322
129.894432	133.193543	1323
133.452297	139.727078	1324
140.244586	146.842809	1325
147.166251	154.411359	1326
154.799490	157.775159	1327
158.551420	164.438070	1328
165.084955	169.548459	1329
172.912259	181.063005	1330
181.645201	185.979328	1331
186.367459	193.095059	1332
199.046398	201.957378	1333
202.474886	209.978748	1334
216.965102	223.433948	1335
223.433948	228.609025	1336
228.867779	232.037513	1337
232.360956	239.994194	1338
241.029210	248.209629	1339
249.438710	252.867198	1340
253.966902	259.982929	1341
260.371060	267.810233	1342
268.457117	274.279079	1343
276.801929	283.723594	1344
290.451194	294.979387	1345
300.219152	303.324198	1346
307.011441	311.410256	1347
311.410256	313.350910	1348
313.674352	320.013822	1349
320.854772	323.830441	1350
324.283260	329.328960	1351
329.911156	332.886826	1352
333.469022	340.002556	1353
340.649441	343.366356	1354
344.271995	350.158645	1355
350.158645	356.433426	1356
362.061322	368.982987	1357
369.371118	375.387145	1358
376.745603	381.338484	1359
381.726614	386.707626	1360
387.289822	392.723653	1361
393.111784	395.699322	1362
396.087453	399.580630	1363
399.580630	403.461938	1364
403.461938	407.731376	1365
408.054818	411.224553	1366
411.742061	417.822776	1367
418.146219	421.251265	1368
422.803788	427.526046	1369
429.660765	432.895188	1370
433.283319	437.229315	1371
437.229315	442.921899	1372
446.285700	450.425761	1373
450.878580	457.153361	1374
457.994311	464.786600	1375
465.174730	471.384823	1376
472.096396	474.101738	1377
475.007377	482.058419	1378
482.705304	487.945069	1379
488.397888	492.214508	1380
492.796704	496.678011	1381
502.047154	508.580688	1382
508.904131	513.108881	1383
513.626388	517.378319	1384
518.089892	523.394346	1385
524.170608	526.499392	1386
527.405031	533.097616	1387
541.830558	547.329077	1388
548.816912	553.474481	1389
554.768250	559.813950	1390
560.525523	562.854308	1391
563.242439	566.864993	1392
567.382500	572.104758	1393
572.363512	577.021081	1394
577.667966	582.648977	1395
584.783697	588.923758	1396
593.969458	598.238897	1397
599.079847	603.996170	1398
604.319612	613.246620	1399
614.346324	618.098255	1400
